subject;variables.currentgroupnumber;blockcode;blocknum;trialcode;trialnum;response;correct;latency;stimulusnumber1;stimulusitem1;stimulusnumber2;stimulusitem2;stimulusnumber3;stimulusitem3
2;2;facial_davids;4;binary_face_davids;31;18;0;4998;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;218;stimuli/warmth2014_m29-gaussian-15px_3_217.jpg;218;stimuli/warmth2014_m29-gaussian-15px_3_217_neg.jpg
2;2;facial_davids;4;binary_face_davids;32;18;0;5476;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;357;stimuli/warmth2014_m29-gaussian-15px_3_356.jpg;357;stimuli/warmth2014_m29-gaussian-15px_3_356_neg.jpg
2;2;facial_davids;4;binary_face_davids;33;18;0;2791;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;45;stimuli/warmth2014_m29-gaussian-15px_3_44.jpg;45;stimuli/warmth2014_m29-gaussian-15px_3_44_neg.jpg
2;2;facial_davids;4;binary_face_davids;34;18;0;7109;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;323;stimuli/warmth2014_m29-gaussian-15px_3_322.jpg;323;stimuli/warmth2014_m29-gaussian-15px_3_322_neg.jpg
2;2;facial_davids;4;binary_face_davids;35;23;0;5758;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;157;stimuli/warmth2014_m29-gaussian-15px_3_156.jpg;157;stimuli/warmth2014_m29-gaussian-15px_3_156_neg.jpg
2;2;facial_davids;4;binary_face_davids;36;18;0;7781;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;364;stimuli/warmth2014_m29-gaussian-15px_3_363.jpg;364;stimuli/warmth2014_m29-gaussian-15px_3_363_neg.jpg
2;2;facial_davids;4;binary_face_davids;37;18;0;8340;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;290;stimuli/warmth2014_m29-gaussian-15px_3_289.jpg;290;stimuli/warmth2014_m29-gaussian-15px_3_289_neg.jpg
2;2;facial_davids;4;binary_face_davids;38;23;0;3100;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;219;stimuli/warmth2014_m29-gaussian-15px_3_218.jpg;219;stimuli/warmth2014_m29-gaussian-15px_3_218_neg.jpg
2;2;facial_davids;4;binary_face_davids;39;23;0;13838;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;326;stimuli/warmth2014_m29-gaussian-15px_3_325.jpg;326;stimuli/warmth2014_m29-gaussian-15px_3_325_neg.jpg
2;2;facial_davids;4;binary_face_davids;40;18;0;4027;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;328;stimuli/warmth2014_m29-gaussian-15px_3_327.jpg;328;stimuli/warmth2014_m29-gaussian-15px_3_327_neg.jpg
2;2;facial_davids;4;binary_face_davids;41;18;0;2407;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;303;stimuli/warmth2014_m29-gaussian-15px_3_302.jpg;303;stimuli/warmth2014_m29-gaussian-15px_3_302_neg.jpg
2;2;facial_davids;4;binary_face_davids;42;18;0;9356;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;28;stimuli/warmth2014_m29-gaussian-15px_3_27.jpg;28;stimuli/warmth2014_m29-gaussian-15px_3_27_neg.jpg
2;2;facial_davids;4;binary_face_davids;43;18;0;4012;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;216;stimuli/warmth2014_m29-gaussian-15px_3_215.jpg;216;stimuli/warmth2014_m29-gaussian-15px_3_215_neg.jpg
2;2;facial_davids;4;binary_face_davids;44;23;0;1777;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;307;stimuli/warmth2014_m29-gaussian-15px_3_306.jpg;307;stimuli/warmth2014_m29-gaussian-15px_3_306_neg.jpg
2;2;facial_davids;4;binary_face_davids;45;23;0;1784;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;300;stimuli/warmth2014_m29-gaussian-15px_3_299.jpg;300;stimuli/warmth2014_m29-gaussian-15px_3_299_neg.jpg
2;2;facial_davids;4;binary_face_davids;46;18;0;1975;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;97;stimuli/warmth2014_m29-gaussian-15px_3_96.jpg;97;stimuli/warmth2014_m29-gaussian-15px_3_96_neg.jpg
2;2;facial_davids;4;binary_face_davids;47;23;0;4645;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;277;stimuli/warmth2014_m29-gaussian-15px_3_276.jpg;277;stimuli/warmth2014_m29-gaussian-15px_3_276_neg.jpg
2;2;facial_davids;4;binary_face_davids;48;18;0;2913;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;302;stimuli/warmth2014_m29-gaussian-15px_3_301.jpg;302;stimuli/warmth2014_m29-gaussian-15px_3_301_neg.jpg
2;2;facial_davids;4;binary_face_davids;49;23;0;4003;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;190;stimuli/warmth2014_m29-gaussian-15px_3_189.jpg;190;stimuli/warmth2014_m29-gaussian-15px_3_189_neg.jpg
2;2;facial_davids;4;binary_face_davids;50;23;0;10128;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;193;stimuli/warmth2014_m29-gaussian-15px_3_192.jpg;193;stimuli/warmth2014_m29-gaussian-15px_3_192_neg.jpg
2;2;facial_davids;4;binary_face_davids;51;23;0;4233;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;46;stimuli/warmth2014_m29-gaussian-15px_3_45.jpg;46;stimuli/warmth2014_m29-gaussian-15px_3_45_neg.jpg
2;2;facial_davids;4;binary_face_davids;52;23;0;9421;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;198;stimuli/warmth2014_m29-gaussian-15px_3_197.jpg;198;stimuli/warmth2014_m29-gaussian-15px_3_197_neg.jpg
2;2;facial_davids;4;binary_face_davids;53;18;0;2258;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;324;stimuli/warmth2014_m29-gaussian-15px_3_323.jpg;324;stimuli/warmth2014_m29-gaussian-15px_3_323_neg.jpg
2;2;facial_davids;4;binary_face_davids;54;18;0;2038;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;327;stimuli/warmth2014_m29-gaussian-15px_3_326.jpg;327;stimuli/warmth2014_m29-gaussian-15px_3_326_neg.jpg
2;2;facial_davids;4;binary_face_davids;55;18;0;11961;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;135;stimuli/warmth2014_m29-gaussian-15px_3_134.jpg;135;stimuli/warmth2014_m29-gaussian-15px_3_134_neg.jpg
2;2;facial_davids;4;binary_face_davids;56;18;0;2201;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;210;stimuli/warmth2014_m29-gaussian-15px_3_209.jpg;210;stimuli/warmth2014_m29-gaussian-15px_3_209_neg.jpg
2;2;facial_davids;4;binary_face_davids;57;23;0;2559;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;382;stimuli/warmth2014_m29-gaussian-15px_3_381.jpg;382;stimuli/warmth2014_m29-gaussian-15px_3_381_neg.jpg
2;2;facial_davids;4;binary_face_davids;58;23;0;2782;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;21;stimuli/warmth2014_m29-gaussian-15px_3_20.jpg;21;stimuli/warmth2014_m29-gaussian-15px_3_20_neg.jpg
2;2;facial_davids;4;binary_face_davids;59;23;0;4181;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;34;stimuli/warmth2014_m29-gaussian-15px_3_33.jpg;34;stimuli/warmth2014_m29-gaussian-15px_3_33_neg.jpg
2;2;facial_davids;4;binary_face_davids;60;23;0;4004;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;384;stimuli/warmth2014_m29-gaussian-15px_3_383.jpg;384;stimuli/warmth2014_m29-gaussian-15px_3_383_neg.jpg
2;2;facial_davids;4;binary_face_davids;61;23;0;1881;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;134;stimuli/warmth2014_m29-gaussian-15px_3_133.jpg;134;stimuli/warmth2014_m29-gaussian-15px_3_133_neg.jpg
2;2;facial_davids;4;binary_face_davids;62;18;0;6052;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;71;stimuli/warmth2014_m29-gaussian-15px_3_70.jpg;71;stimuli/warmth2014_m29-gaussian-15px_3_70_neg.jpg
2;2;facial_davids;4;binary_face_davids;63;23;0;8224;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;374;stimuli/warmth2014_m29-gaussian-15px_3_373.jpg;374;stimuli/warmth2014_m29-gaussian-15px_3_373_neg.jpg
2;2;facial_davids;4;binary_face_davids;64;23;0;1397;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;202;stimuli/warmth2014_m29-gaussian-15px_3_201.jpg;202;stimuli/warmth2014_m29-gaussian-15px_3_201_neg.jpg
2;2;facial_davids;4;binary_face_davids;65;23;0;3842;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;392;stimuli/warmth2014_m29-gaussian-15px_3_391.jpg;392;stimuli/warmth2014_m29-gaussian-15px_3_391_neg.jpg
2;2;facial_davids;4;binary_face_davids;66;18;0;3095;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;379;stimuli/warmth2014_m29-gaussian-15px_3_378.jpg;379;stimuli/warmth2014_m29-gaussian-15px_3_378_neg.jpg
2;2;facial_davids;4;binary_face_davids;67;18;0;2113;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;36;stimuli/warmth2014_m29-gaussian-15px_3_35.jpg;36;stimuli/warmth2014_m29-gaussian-15px_3_35_neg.jpg
2;2;facial_davids;4;binary_face_davids;68;18;0;6314;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;288;stimuli/warmth2014_m29-gaussian-15px_3_287.jpg;288;stimuli/warmth2014_m29-gaussian-15px_3_287_neg.jpg
2;2;facial_davids;4;binary_face_davids;69;23;0;4395;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;215;stimuli/warmth2014_m29-gaussian-15px_3_214.jpg;215;stimuli/warmth2014_m29-gaussian-15px_3_214_neg.jpg
2;2;facial_davids;4;binary_face_davids;70;18;0;6089;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;88;stimuli/warmth2014_m29-gaussian-15px_3_87.jpg;88;stimuli/warmth2014_m29-gaussian-15px_3_87_neg.jpg
2;2;facial_davids;4;binary_face_davids;71;18;0;7883;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;296;stimuli/warmth2014_m29-gaussian-15px_3_295.jpg;296;stimuli/warmth2014_m29-gaussian-15px_3_295_neg.jpg
2;2;facial_davids;4;binary_face_davids;72;23;0;5614;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;220;stimuli/warmth2014_m29-gaussian-15px_3_219.jpg;220;stimuli/warmth2014_m29-gaussian-15px_3_219_neg.jpg
2;2;facial_davids;4;binary_face_davids;73;23;0;10251;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;13;stimuli/warmth2014_m29-gaussian-15px_3_12.jpg;13;stimuli/warmth2014_m29-gaussian-15px_3_12_neg.jpg
2;2;facial_davids;4;binary_face_davids;74;23;0;9039;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;65;stimuli/warmth2014_m29-gaussian-15px_3_64.jpg;65;stimuli/warmth2014_m29-gaussian-15px_3_64_neg.jpg
2;2;facial_davids;4;binary_face_davids;75;23;0;6188;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;228;stimuli/warmth2014_m29-gaussian-15px_3_227.jpg;228;stimuli/warmth2014_m29-gaussian-15px_3_227_neg.jpg
2;2;facial_davids;4;binary_face_davids;76;23;0;10713;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;273;stimuli/warmth2014_m29-gaussian-15px_3_272.jpg;273;stimuli/warmth2014_m29-gaussian-15px_3_272_neg.jpg
2;2;facial_davids;4;binary_face_davids;77;18;0;7403;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;108;stimuli/warmth2014_m29-gaussian-15px_3_107.jpg;108;stimuli/warmth2014_m29-gaussian-15px_3_107_neg.jpg
2;2;facial_davids;4;binary_face_davids;78;23;0;1960;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;284;stimuli/warmth2014_m29-gaussian-15px_3_283.jpg;284;stimuli/warmth2014_m29-gaussian-15px_3_283_neg.jpg
2;2;facial_davids;4;binary_face_davids;79;18;0;5280;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;98;stimuli/warmth2014_m29-gaussian-15px_3_97.jpg;98;stimuli/warmth2014_m29-gaussian-15px_3_97_neg.jpg
2;2;facial_davids;4;binary_face_davids;80;23;0;3090;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;6;stimuli/warmth2014_m29-gaussian-15px_3_5.jpg;6;stimuli/warmth2014_m29-gaussian-15px_3_5_neg.jpg
2;2;facial_davids;4;binary_face_davids;81;23;0;9052;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;272;stimuli/warmth2014_m29-gaussian-15px_3_271.jpg;272;stimuli/warmth2014_m29-gaussian-15px_3_271_neg.jpg
2;2;facial_davids;4;binary_face_davids;82;18;0;3432;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;363;stimuli/warmth2014_m29-gaussian-15px_3_362.jpg;363;stimuli/warmth2014_m29-gaussian-15px_3_362_neg.jpg
2;2;facial_davids;4;binary_face_davids;83;18;0;2589;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;238;stimuli/warmth2014_m29-gaussian-15px_3_237.jpg;238;stimuli/warmth2014_m29-gaussian-15px_3_237_neg.jpg
2;2;facial_davids;4;binary_face_davids;84;18;0;3874;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;23;stimuli/warmth2014_m29-gaussian-15px_3_22.jpg;23;stimuli/warmth2014_m29-gaussian-15px_3_22_neg.jpg
2;2;facial_davids;4;binary_face_davids;85;18;0;2445;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;243;stimuli/warmth2014_m29-gaussian-15px_3_242.jpg;243;stimuli/warmth2014_m29-gaussian-15px_3_242_neg.jpg
2;2;facial_davids;4;binary_face_davids;86;18;0;3801;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;398;stimuli/warmth2014_m29-gaussian-15px_3_397.jpg;398;stimuli/warmth2014_m29-gaussian-15px_3_397_neg.jpg
2;2;facial_davids;4;binary_face_davids;87;18;0;15071;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;356;stimuli/warmth2014_m29-gaussian-15px_3_355.jpg;356;stimuli/warmth2014_m29-gaussian-15px_3_355_neg.jpg
2;2;facial_davids;4;binary_face_davids;88;23;0;4482;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;55;stimuli/warmth2014_m29-gaussian-15px_3_54.jpg;55;stimuli/warmth2014_m29-gaussian-15px_3_54_neg.jpg
2;2;facial_davids;4;binary_face_davids;89;23;0;6877;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;400;stimuli/warmth2014_m29-gaussian-15px_3_399.jpg;400;stimuli/warmth2014_m29-gaussian-15px_3_399_neg.jpg
2;2;facial_davids;4;binary_face_davids;90;18;0;10135;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;275;stimuli/warmth2014_m29-gaussian-15px_3_274.jpg;275;stimuli/warmth2014_m29-gaussian-15px_3_274_neg.jpg
2;2;facial_davids;4;binary_face_davids;91;18;0;3640;1;Welches Gesicht ähnelt David S. Ihrer Meinung nach eher?;73;stimuli/warmth2014_m29-gaussian-15px_3_72.jpg;73;stimuli/warmth2014_m29-gaussian-15px_3_72_neg.jpg
