num,first_author,title,finding_id,finding_type,severity,status,message,links
2019-13,Lyons,High-status lobbyists are most likely to overrate their success,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/5xayz/ https://osf.io/5xayz,https://osf.io/5xayz/ https://osf.io/5xayz
2019-14,Awad,Drivers are blamed more than their automated cars when both make mistakes,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Raw data and source data for Figs. 2 – 4, Table 1 and Supplementary Fig. 1 are a...",
2019-15,Fang,Genomic prediction of depression risk and resilience under stress,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The de-identified data from Intern Health Study are available through the PGC: h...",
2019-16,Abdellaoui,Genetic correlates of social stratification in Great Britain,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: This research was conducted using data from the UK Biobank resource (application...",
2019-17,Chen,Socially transmitted placebo effects,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/cosanlab/socially_transmitted_placebo_effects/,https://github.com/cosanlab/socially_transmitted_placebo_effects/
2019-18,Hills,Historical analysis of national subjective wellbeing using millions of digitized books,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/warwickpsych/NationalValenceIndex,https://github.com/warwickpsych/NationalValenceIndex
2019-19,Bridgers,Young children consider the expected utility of others’ learning to decide what to teach,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/wunbq https://osf.io/wunbq/,https://osf.io/wunbq https://osf.io/wunbq/
2019-20,Bruneau,A collective blame hypocrisy intervention enduringly reduces hostility towards Muslims,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/fwp7g https://osf.io/fwp7g/files/,https://osf.io/fwp7g https://osf.io/fwp7g/files/
2019-21,Ing,Identification of neurobehavioural symptom groups based on shared brain mechanisms,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/alexjamesing/mscca-regression-code,https://github.com/alexjamesing/mscca-regression-code
2019-22,Zhou,Neural dynamics of racial categorization predicts racial bias in face recognition and altruism,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2019-23,House,Universal norm psychology leads to societal diversity in prosocial behaviour and development,F-001,DATA_CODE_AVAILABILITY,P1,critical,No data availability statement,
2019-24,Fonzo,Brain regulation of emotional conflict predicts antidepressant treatment response for depression,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: All data are publicly available through the NIMH Data Archive ( https://nda.nih....",
2019-25,Becu,Age-related preference for geometric spatial cues during real-world navigation,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The datasets generated and analysed during the current study are available from ...",
2019-26,Mills,A randomized controlled trial of restorative justice-informed treatment for domestic violence crimes,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2019-27,Smaldino,Niche diversity can explain cross-cultural differences in personality structure,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/pyhq7/ https://osf.io/pyhq7,https://osf.io/pyhq7/ https://osf.io/pyhq7
2019-28,Farashahi,Flexible combination of reward information across primates,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2019-29,Dahl,Rostral locus coeruleus integrity is associated with better memory performance in older adults,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data on which our results are based are available from the BASE-II steering ...",
2019-30,Lebovich,Idiosyncratic choice bias naturally emerges from intrinsic stochasticity in neuronal dynamics,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/Lior-Lebovich/ICB,https://github.com/Lior-Lebovich/ICB
2019-31,Kunst,Fusion with political leaders predicts willingness to persecute immigrants and political opponents,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/mn273 https://osf.io/mn273/?view_only=8d17df0542ac4f03b6673b5a3b039bca,https://osf.io/mn273 https://osf.io/mn273/?view_only=8d17df0542ac4f03b6673b5a3b039bca
2019-32,Regner,Committees with implicit biases promote fewer women when they do not believe gender bias exists,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/umf62 https://osf.io/umf62/,https://osf.io/umf62 https://osf.io/umf62/
2019-33,Lieder,Cognitive prostheses for goal achievement,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/h7vqy https://osf.io/h7vqy/,https://osf.io/h7vqy https://osf.io/h7vqy/ https://github.com/BrowenChen/Cognitive-Tools-for-Self-Mastery
2019-34,Wood,Reducing gunshot victimization in high-risk social networks through direct and spillover effects,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The original data used in this study were provided to the corresponding author a...",
2019-35,Dediu,Weak biases emerging from vocal tract anatomy shape the repeated transmission of vowels,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/ddediu/hard-palate-vowels,https://github.com/ddediu/hard-palate-vowels
2019-36,Page,Testing adaptive hypotheses of alloparenting in Agta foragers,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2019-37,Lee,Homophily and minority-group size explain perception biases in social networks,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/frbkrm/NtwPerceptionBias,https://github.com/frbkrm/NtwPerceptionBias
2019-38,Chenoweth,The physics of dissent and the effects of movement momentum,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The STATA dataset that supports the findings of this study is publicly available...",
2019-39,de Lange,Shared vulnerability for connectome alterations across psychiatric and neurological brain disorders,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The reference connectome dataset was based on data from the HCP, which are avail...",
2019-40,Evangelou,New alcohol-related genes suggest shared genetic mechanisms with neuropsychiatric disorders,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The UKB GWAS data can be assessed from the UKB data repository ( https://biota.o...",
2019-41,Lebowitz,Asymmetrical genetic attributions for prosocial versus antisocial behaviour,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2019-42,Strimling,The connection between moral positions and moral arguments drives opinion change,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/irinavrt/moralopinion,https://github.com/irinavrt/moralopinion
2019-43,Rutten,Cortical encoding of speech enhances task-relevant acoustic information,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The stimuli and the sound representations of the stimuli (feature matrix S ) and...",
2019-44,Jin,Emergence of scaling in complex substitutive systems,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/chingjin/substitution.github.io,https://github.com/chingjin/substitution.github.io
2019-45,Leong,Neurocomputational mechanisms underlying motivated seeing,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/ycleong/MotivatedPerception,https://github.com/ycleong/MotivatedPerception
2019-46,Schmid,Effective strategies for rebutting science denialism in public discussions,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data supporting the findings of this study are available from the Open Scien...",
2019-47,Aylward,Altered learning under uncertainty in unmedicated mood and anxiety disorders,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/CCS-Lab/hBayesDM,https://github.com/CCS-Lab/hBayesDM
2019-48,Zhou,A social interaction field model accurately identifies static and dynamic social groupings,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/ECNU-VRLAB/Social-Interaction-Field-Model https://figshare.com/s/e860b1ee96956dbd0a5c,https://github.com/ECNU-VRLAB/Social-Interaction-Field-Model https://figshare.com/s/e860b1ee96956dbd0a5c
2019-49,Ziegler,Closed-loop digital meditation improves sustained attention in young adults,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The data that support the findings of this study are available from the correspo...",
2019-50,Wang,Anomalous structure and dynamics in news diffusion among heterogeneous individuals,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The headlines of all the news stories were collected from the hot news website o...",
2019-51,Korn,Minimizing threat via heuristic and optimal policies recruits hippocampus and medial prefrontal cortex,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/dnhi-lab/minimizing_threat.git,https://github.com/dnhi-lab/minimizing_threat.git
2019-52,Jang,Positive reward prediction errors during decision-making strengthen memory encoding,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The behavioural data from both experiments are available from the corresponding ...",
2019-53,Gomez,Extensive childhood experience with Pokémon suggests eccentricity drives organization of visual cortex,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/vistalab/vistasoft,https://github.com/vistalab/vistasoft
2019-54,Thomas,Gaze bias differences capture individual choice behaviour,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://doi.org/10.31234/osf.io/xuwbk https://doi.org/10.31219/osf.io/rv7sn,https://doi.org/10.31234/osf.io/xuwbk https://doi.org/10.31219/osf.io/rv7sn http://www.github.com/glamlab/gaze-bias-differences
2019-55,Grotzinger,Genomic structural equation modelling provides insights into the multivariate genetic architecture of complex traits,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/MichelNivard/GenomicSEM/wiki https://github.com/MichelNivard/GenomicSEM,https://github.com/MichelNivard/GenomicSEM/wiki https://github.com/MichelNivard/GenomicSEM
2019-57,Keung,Regulation of evidence accumulation by pupil-linked arousal processes,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/janekeung129/clicks-pupil http://github.com/misun6312/PBupsModel.jl,https://github.com/janekeung129/clicks-pupil http://github.com/misun6312/PBupsModel.jl
2019-58,Perl,Human non-olfactory cognition phase-locked with inhalation,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/WORGOlfaction/perl-2019,https://github.com/WORGOlfaction/perl-2019
2019-59,Cowen,The primacy of categories in the recognition of 12 emotions in speech prosody across two cultures,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The 2,519 speech samples used in the present study and their ratings can be requ...",
2019-60,Holbein,Insufficient sleep reduces voting and other prosocial behaviours,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: The following restrictions apply to data in studies 1 and 2: the Add Health (res...",
2019-61,Flinker,Spectrotemporal modulation provides a unifying framework for auditory cortical asymmetries,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/flinkerlab/SpectroTemporalModulationFilter http://github.com/mike-lawrence/ez,https://github.com/flinkerlab/SpectroTemporalModulationFilter http://github.com/mike-lawrence/ez
2019-62,Amasino,Amount and time exert independent influences on intertemporal choice,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/2p3dj/files/ https://osf.io/2p3dj/files,https://osf.io/2p3dj/files/ https://osf.io/2p3dj/files https://osf.io/2p3dj https://github.com/Huettel-Lab/ITC_mtDDM
2019-63,Pool,Behavioural evidence for parallel outcome-sensitive and outcome-insensitive Pavlovian learning systems in humans,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/rve2p https://osf.io/rve2p/,https://osf.io/rve2p https://osf.io/rve2p/
2019-64,Toyokawa,Social learning strategies regulate the wisdom and madness of interactive crowds,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://github.com/WataruToyokawa/MultiPlayerThreeArmedBanditGame https://github.com/WataruToyokawa/ToyokawaWhalenLaland2018,https://github.com/WataruToyokawa/MultiPlayerThreeArmedBanditGame https://github.com/WataruToyokawa/ToyokawaWhalenLaland2018
2019-66,Karlaftis,Multimodal imaging of brain connectivity reveals predictors of individual decision strategy in statistical learning,F-001,DATA_CODE_AVAILABILITY,P2,warn,"Data availability stated, no direct link: Behavioural and imaging data in raw and pre-processed format are available upon ...",
2019-67,Orben,The association between adolescent well-being and digital technology use,F-001,DATA_CODE_AVAILABILITY,P3,ok,Data/code available: https://osf.io/7xha2/ https://osf.io/e84xu,https://osf.io/7xha2/ https://osf.io/e84xu https://osf.io/7xha2
